drug_ID,target_ID,,drug,target,,,
D00021,hsa:10667,,Phenylalanine,phenylalanyl-tRNA synthetase alpha chain,,,
D00021,hsa:5053,,Phenylalanine,phenylalanine-4-hydroxylase,,,
D00021,hsa:6898,,Phenylalanine,tyrosine aminotransferase,,,
D00021,hsa:7054,,Phenylalanine,tyrosine 3-monooxygenase,,,
D00032,hsa:3034,,Histidine,histidine ammonia-lyase,,,
D00032,hsa:3035,,Histidine, histidyl-tRNA synthetase,,,
D00032,hsa:3067,,Histidine,histidine decarboxylase,,,
D00035,hsa:2058,, Prolin,bifunctional glutamyl/prolyl-tRNA synthetase,,,
D00035,hsa:29920,, Prolin,pyrroline-5-carboxylate reductase,,,
D00035,hsa:5625,, Prolin, proline dehydrogenase,,,
D00041,hsa:5095,,Threonine,propionyl-CoA carboxylase alpha chain,,,
D00041,hsa:5096,,Threonine,propionyl-CoA carboxylase beta chain,,,
D00041,hsa:6897,,Threonine, threonyl-tRNA synthetase,,,
D00070,hsa:2356,, Folic acid,folylpolyglutamate synthase,,,
D00070,hsa:8836,, Folic acid,gamma-glutamyl hydrolase,,,
D00054,hsa:4860,,Inosine,purine-nucleoside phosphorylase,,,
,,,,,,,
"红色字体为new_target, drug与new_target之间的关系为预测结果",,,,,,,
