(R)-warfarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with (R)-warfarin.
(S)-Warfarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with (S)-Warfarin.
4-hydroxycoumarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with 4-hydroxycoumarin.
Abacavir,Ceftriaxone may decrease the excretion rate of Abacavir which could result in a higher serum level.
Abciximab,The therapeutic efficacy of Abciximab can be decreased when used in combination with Ceftriaxone.
Abemaciclib,The serum concentration of Abemaciclib can be increased when it is combined with Ceftriaxone.
Acarbose,Ceftriaxone may decrease the excretion rate of Acarbose which could result in a higher serum level.
Acebutolol,The serum concentration of Acebutolol can be increased when it is combined with Ceftriaxone.
Aceclofenac,Ceftriaxone may decrease the excretion rate of Aceclofenac which could result in a higher serum level.
Acemetacin,Acemetacin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Acenocoumarol,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Acenocoumarol.
Acetaminophen,The serum concentration of Acetaminophen can be increased when it is combined with Ceftriaxone.
Acetazolamide,Acetazolamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Acetylsalicylic acid,The serum concentration of Acetylsalicylic acid can be increased when it is combined with Ceftriaxone.
Aclidinium,Ceftriaxone may decrease the excretion rate of Aclidinium which could result in a higher serum level.
Acrivastine,Ceftriaxone may decrease the excretion rate of Acrivastine which could result in a higher serum level.
Acyclovir,Acyclovir may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Adefovir,Adefovir may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Adefovir Dipivoxil,Adefovir Dipivoxil may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Adenovirus type 7 vaccine live,The therapeutic efficacy of Adenovirus type 7 vaccine live can be decreased when used in combination with Ceftriaxone.
Afatinib,The serum concentration of Afatinib can be increased when it is combined with Ceftriaxone.
Albutrepenonacog alfa,Ceftriaxone may decrease the excretion rate of Albutrepenonacog alfa which could result in a higher serum level.
Alclofenac,Ceftriaxone may decrease the excretion rate of Alclofenac which could result in a higher serum level.
Aldesleukin,Ceftriaxone may decrease the excretion rate of Aldesleukin which could result in a higher serum level.
Aldosterone,The serum concentration of Aldosterone can be increased when it is combined with Ceftriaxone.
Alendronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Alendronic acid.
Alitretinoin,The serum concentration of Alitretinoin can be increased when it is combined with Ceftriaxone.
Allopurinol,Ceftriaxone may decrease the excretion rate of Allopurinol which could result in a higher serum level.
Allylestrenol,Ceftriaxone may decrease the excretion rate of Allylestrenol which could result in a higher serum level.
Almasilate,Ceftriaxone may decrease the excretion rate of Almasilate which could result in a higher serum level.
Alminoprofen,Alminoprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Almotriptan,Ceftriaxone may decrease the excretion rate of Almotriptan which could result in a higher serum level.
Alogliptin,Ceftriaxone may decrease the excretion rate of Alogliptin which could result in a higher serum level.
Alprazolam,Ceftriaxone may decrease the excretion rate of Alprazolam which could result in a higher serum level.
Alprostadil,The excretion of Alprostadil can be decreased when combined with Ceftriaxone.
Alteplase,The therapeutic efficacy of Alteplase can be decreased when used in combination with Ceftriaxone.
Amantadine,Ceftriaxone may decrease the excretion rate of Amantadine which could result in a higher serum level.
Ambrisentan,The serum concentration of Ambrisentan can be increased when it is combined with Ceftriaxone.
Amediplase,The therapeutic efficacy of Amediplase can be decreased when used in combination with Ceftriaxone.
Amikacin,Amikacin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Amiloride,Amiloride may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Aminohippuric acid,The excretion of Aminohippuric acid can be decreased when combined with Ceftriaxone.
Aminophenazone,Aminophenazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Amitriptyline,Ceftriaxone may decrease the excretion rate of Amitriptyline which could result in a higher serum level.
Ammonium chloride,Ceftriaxone may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.
Amoxicillin,Ceftriaxone may decrease the excretion rate of Amoxicillin which could result in a higher serum level.
Amphetamine,Ceftriaxone may decrease the excretion rate of Amphetamine which could result in a higher serum level.
Amphotericin B,Amphotericin B may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ampicillin,Ceftriaxone may decrease the excretion rate of Ampicillin which could result in a higher serum level.
Amprenavir,The serum concentration of Amprenavir can be increased when it is combined with Ceftriaxone.
Amrinone,Ceftriaxone may decrease the excretion rate of Amrinone which could result in a higher serum level.
Anagrelide,The therapeutic efficacy of Anagrelide can be decreased when used in combination with Ceftriaxone.
Ancestim,Ceftriaxone may decrease the excretion rate of Ancestim which could result in a higher serum level.
Ancrod,The therapeutic efficacy of Ancrod can be decreased when used in combination with Ceftriaxone.
Anistreplase,The therapeutic efficacy of Anistreplase can be decreased when used in combination with Ceftriaxone.
Anthrax immune globulin human,The therapeutic efficacy of Anthrax immune globulin human can be decreased when used in combination with Ceftriaxone.
Anthrax vaccine,The therapeutic efficacy of Anthrax vaccine can be decreased when used in combination with Ceftriaxone.
Antihemophilic Factor (Recombinant), PEGylated,Ceftriaxone may decrease the excretion rate of Antihemophilic Factor (Recombinant), PEGylated which could result in a higher serum level.
Antipyrine,Antipyrine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Antithrombin Alfa,The therapeutic efficacy of Antithrombin Alfa can be decreased when used in combination with Ceftriaxone.
Antithrombin III human,Ceftriaxone may decrease the excretion rate of Antithrombin III human which could result in a higher serum level.
Antrafenine,Antrafenine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Apalutamide,Ceftriaxone may decrease the excretion rate of Apalutamide which could result in a higher serum level.
Apixaban,The serum concentration of Apixaban can be increased when it is combined with Ceftriaxone.
Apramycin,Apramycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Apremilast,Ceftriaxone may decrease the excretion rate of Apremilast which could result in a higher serum level.
Arbekacin,Arbekacin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ardeparin,The therapeutic efficacy of Ardeparin can be decreased when used in combination with Ceftriaxone.
Arformoterol,Ceftriaxone may decrease the excretion rate of Arformoterol which could result in a higher serum level.
Argatroban,The therapeutic efficacy of Argatroban can be decreased when used in combination with Ceftriaxone.
Arotinolol,Ceftriaxone may decrease the excretion rate of Arotinolol which could result in a higher serum level.
Arsenic trioxide,The serum concentration of Arsenic trioxide can be increased when it is combined with Ceftriaxone.
Ascorbic acid,The serum concentration of Ascorbic acid can be increased when it is combined with Ceftriaxone.
Astaxanthin,The therapeutic efficacy of Astaxanthin can be decreased when used in combination with Ceftriaxone.
Asunaprevir,The serum concentration of Asunaprevir can be increased when it is combined with Ceftriaxone.
Atazanavir,The serum concentration of Atazanavir can be increased when it is combined with Ceftriaxone.
Atenolol,The serum concentration of Atenolol can be increased when it is combined with Ceftriaxone.
Atorvastatin,The serum concentration of Atorvastatin can be increased when it is combined with Ceftriaxone.
Auranofin,Ceftriaxone may decrease the excretion rate of Auranofin which could result in a higher serum level.
Aurothioglucose,Ceftriaxone may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.
Avatrombopag,The serum concentration of Avatrombopag can be increased when it is combined with Ceftriaxone.
Avibactam,The excretion of Avibactam can be decreased when combined with Ceftriaxone.
Axitinib,The serum concentration of Axitinib can be increased when it is combined with Ceftriaxone.
Azacitidine,Ceftriaxone may decrease the excretion rate of Azacitidine which could result in a higher serum level.
Azapropazone,Azapropazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Azathioprine,Ceftriaxone may decrease the excretion rate of Azathioprine which could result in a higher serum level.
