D00562,DB00550
D00501,DB00806
D03670,DB00746
D00538,DB00909
D03710,DB01628
D00496,DB00859
D00410,DB01011
D00168,DB00987
D00094,DB00755
D00401,DB00763
D00537,DB00273
D00547,DB01236
D00513,DB00960
D00391,DB00432
D00160,DB00513
D02290,DB00712
D00359,DB00227
D00625,DB00491
D00086,DB00166
D00169,DB00939
D01565,DB00328
D00494,DB01069
D00733,DB00527
D00377,DB00244
D00691,DB00651
D02110,DB00328
D00543,DB00228
D02562,DB01367
D01844,DB00569
D00487,DB00545
D00623,DB00691
D02173,DB00674
D00550,DB00683
D02698,DB00444
D00544,DB01028
D02321,DB00276
D01122,DB01050
D00887,DB01076
D00029,DB00121
D00903,DB00586
D02356,DB00661
D00198,DB01180
D00813,DB00465
D00652,DB01194
D00007,DB00142
D01367,DB00324
D00252,DB00564
D00584,DB00544
D03731,DB01037
D00518,DB01144
D00574,DB00357
D04966,DB00331
D00005,DB03147
D00786,DB00323
D00568,DB00533
D03738,DB03395
D00455,DB00338
D01747,DB01177
D02229,DB00203
D01264,DB00694
D00546,DB01189
D00364,DB00455
D01180,DB01108
D02193,DB01057
D00726,DB01233
D05407,DB00299
D00622,DB00492
D00762,DB00765
D00217,DB00316
D01712,DB00277
D00027,DB03419
D00132,DB01009
D01984,DB00736
D00219,DB00414
D01704,DB03849
D01240,DB01078
D00018,DB00126
D00218,DB00819
D00043,DB00677
D01136,DB00302
D01842,DB02021
D02355,DB00500
D04292,DB00674
D00503,DB00850
D02418,DB00981
D02176,DB00583
D03365,DB00184
D02769,DB00131
D00882,DB01110
D00188,DB00169
D03828,DB00642
D00421,DB00178
D00593,DB00222
D00032,DB00117
D00394,DB00726
D00317,DB00426
D01475,DB00712
D00279,DB00636
D00294,DB01119
D02308,DB01677
D00667,DB00944
D00579,DB00529
D00224,DB00437
D00371,DB00277
D02168,DB01030
D00749,DB01097
D00889,DB00439
D00141,DB00328
D00145,DB00440
D00656,DB00232
D01907,DB01073
D00109,DB00945
D00437,DB01115
D02194,DB01597
D00528,DB00201
D00753,DB00877
D00070,DB00158
D06238,DB01157
D01441,DB00619
D04092,DB01546
D00463,DB00991
D03822,DB00989
D00577,DB00255
D00488,DB00205
D03752,DB00881
D00002,DB01907
D00340,DB00999
D00126,DB01050
D00380,DB01124
D00148,DB01022
D00963,DB00990
D02566,DB00934
D00670,DB00843
D00125,DB00773
D01346,DB00522
D00449,DB01138
D00203,DB00681
D00153,DB00894
D00451,DB00669
D00231,DB01427
D02731,DB00862
D00621,DB00584
D00222,DB00787
D03899,DB00997
D00752,DB00688
D00129,DB00136
D00434,DB00641
D00542,DB01159
D00510,DB00812
D00050,DB00140
D00530,DB00962
D01118,DB00392
D01027,DB00200
D04023,DB00530
D01001,DB01122
D00330,DB00712
D00130,DB00861
D00036,DB02701
D05341,DB03796
D00234,DB00637
D02017,DB00277
D00208,DB00305
D00969,DB00814
D00459,DB00881
D02368,DB00441
D01665,DB04878
D00139,DB00553
D02166,DB01204
D00185,DB04573
D00383,DB00519
D00328,DB00846
D00270,DB00477
D00884,DB00826
D01256,DB00606
