D01871,DB00340
D00437,DB01115
D00227,DB01223
D00525,DB01085
D00255,DB01136
D01297,DB00670
D00606,DB01018
D00499,DB00312
D00415,DB00315
D00411,DB00549
D01462,DB00589
D00281,DB00575
D00465,DB01062
D02356,DB00661
D00397,DB00809
D00440,DB00585
D02234,DB00434
D02361,DB00777
D00410,DB01011
D02358,DB00264
D01295,DB00568
D00113,DB00572
D00523,DB01029
D02342,DB00612
D00513,DB00960
D00563,DB00370
D00687,DB00938
D00514,DB00633
D02147,DB01001
D04375,DB00629
D00318,DB00927
D02349,DB00449
D00965,DB00665
D03879,DB00841
D00336,DB01016
D01390,DB01064
D01022,DB00935
D03165,DB01200
D00987,DB00248
D00483,DB00571
D00765,DB00728
D02374,DB01214
D00503,DB00850
D04006,DB00824
D00627,DB00966
D01782,DB00427
D03881,DB00841
D00666,DB00283
D02357,DB00247
D01352,DB01160
D03621,DB01176
D02327,DB00366
D00095,DB00668
D02338,DB01193
D05740,DB00953
D00769,DB00758
D00845,DB00708
D00364,DB00455
D03415,DB01136
D00779,DB00810
D06056,DB01079
D00356,DB00654
D01441,DB00619
D00675,DB00953
D01024,DB00706
D01118,DB00392
D03503,DB00501
D00613,DB00800
D00645,DB01158
D00442,DB00104
D00480,DB01069
D00632,DB00841
D01324,DB01071
D00270,DB00477
D00180,DB00770
D05792,DB00938
D00306,DB00470
D04716,DB01227
D00688,DB00871
D03442,DB00403
D01346,DB00522
D00726,DB01233
D02076,DB00484
D00674,DB00952
D00528,DB00201
D00522,DB00796
D00300,DB01075
D00524,DB00411
D03365,DB00184
D01103,DB00209
D03654,DB00496
D00609,DB00457
D01236,DB00872
D01964,DB00287
D00136,DB00502
D00400,DB00177
D01717,DB01106
D04979,DB00902
D00604,DB00575
D01071,DB01355
D00498,DB00652
D02354,DB00372
D01227,DB00559
D00673,DB00863
D01242,DB01069
D00094,DB00755
D00682,DB00429
D01699,DB00496
D01712,DB00277
D05129,DB00716
D01713,DB00751
D01332,DB00920
D02150,DB01064
D00451,DB00669
D00601,DB00264
D02070,DB00725
D05341,DB03796
D00110,DB00907
D00560,DB01100
D00493,DB00433
D01164,DB01238
D04034,DB00477
D00837,DB00611
D00520,DB00985
D00235,DB00335
D00225,DB00404
D00494,DB01069
D00574,DB00357
D00432,DB01203
D00422,DB00863
D00760,DB01135
D00996,DB00668
D00234,DB00637
D00232,DB00517
D01973,DB00216
D00139,DB00553
D00274,DB00604
D00598,DB00195
D00780,DB01200
D02237,DB01170
D00838,DB01209
D00646,DB01036
D02721,DB01088
D02910,DB01118
D00419,DB00929
D00332,DB00996
D00954,DB00506
D02340,DB00408
D02566,DB00934
D00607,DB00226
D01692,DB00346
D00676,DB00669
D01603,DB00217
D01020,DB00723
D00059,DB01235
D00521,DB00342
D01745,DB01184
D00665,DB01114
D05113,DB00704
D00790,DB01239
D02671,DB00933
D02082,DB00876
D03274,DB00477
D03880,DB00841
D00049,DB00627
D01269,DB01591
D03858,DB01231
D00394,DB00726
D05938,DB00708
D04040,DB00876
D00283,DB00363
D00559,DB00413
D00295,DB00501
D04625,DB00221
D00775,DB00740
D00684,DB00901
D02359,DB00867
D00241,DB00181
D05312,DB00497
D00106,DB01240
D00443,DB00421
D00454,DB00334
D00380,DB01124
D00426,DB00734
D00509,DB00692
D00371,DB00277
D00715,DB00462
D02066,DB01064
D02149,DB00668
D00540,DB00986
D00079,DB00917
D01828,DB01025
D00542,DB01159
